Created on 05-18-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2019-08-13,ETHUSD,211.18,211.27,202.86,208.49,30559.2,6345701.91
2019-08-12,ETHUSD,216.02,216.38,209.27,211.18,14895.15,3157702.94
2019-08-11,ETHUSD,206.46,216.54,205.73,216.02,24013.33,5106614.95
2019-08-10,ETHUSD,210.59,214.82,198.23,206.46,15711.93,3235656.52
2019-08-09,ETHUSD,220.97,221.3,206.68,210.59,42137.28,9006300.08
2019-08-08,ETHUSD,226,226.51,214.7,220.97,70187.46,15527426.83
2019-08-07,ETHUSD,225.92,231.17,220.24,226,39146.0,8827267.19
2019-08-06,ETHUSD,232.92,239.62,222.35,225.92,57300.43,13192105.35
2019-08-05,ETHUSD,223,237.29,223,232.92,32110.43,7438641.46
2019-08-04,ETHUSD,222.03,223.76,217.42,223,7621.87,1683876.62
2019-08-03,ETHUSD,217.62,224.8,216.58,222.03,13214.2,2933373.0
2019-08-02,ETHUSD,217.72,222.98,214.74,217.62,21577.24,4723153.23
2019-08-01,ETHUSD,218.68,219.43,210.98,217.72,21094.48,4516885.53
2019-07-31,ETHUSD,209.81,218.9,209.65,218.68,23170.6,4976507.35
2019-07-30,ETHUSD,210.81,214.89,204.08,209.81,14993.07,3144499.28
2019-07-29,ETHUSD,211.14,215.49,205.51,210.81,19892.38,4178814.13
2019-07-28,ETHUSD,206.88,213.34,197.81,211.14,22667.4,4660507.42
2019-07-27,ETHUSD,219.21,223.74,202.01,206.88,35797.79,7517504.5
2019-07-26,ETHUSD,219.17,220.87,212.51,219.21,21607.76,4685417.91
2019-07-25,ETHUSD,216.57,226,215.51,219.17,21710.11,4804951.78
2019-07-24,ETHUSD,211.96,218.22,200.59,216.57,56495.53,11787949.15
2019-07-23,ETHUSD,217.13,219.23,208.5,211.96,29596.27,6310503.6
2019-07-22,ETHUSD,225.28,228.3,211.34,217.13,42402.27,9298241.15
2019-07-21,ETHUSD,228.66,229.78,217.24,225.28,18006.46,4015229.28
2019-07-20,ETHUSD,221.34,236.52,220.35,228.66,30788.9,7027170.24
2019-07-19,ETHUSD,226.03,226.66,213.15,221.34,37729.77,8290090.97
2019-07-18,ETHUSD,211.47,230.01,206.32,226.03,54700.27,11988414.05
2019-07-17,ETHUSD,198.44,220,192.01,211.47,77380.78,15932975.99
2019-07-16,ETHUSD,228.65,234.68,190.41,198.44,110190.15,23071170.63
